MapUnit,FieldSampleID,AlternateSampleID,SiO2,TiO2,Al2O3,FeOt,MgO,CaO,Na2O,K2O,P2O5,MnO,La,Ce,Nd,Sc,V,Cr,Ni,Cu,Zn,Ga,Zr,Ba,Cs,Nb,Pb,Rb,Sr,Th,U,Y,LocationConfidenceMeters,LocationSourceID,AnalysisSourceID,MaterialAnalyzed,DateAnalysis,Latitude,Longitude
Twfsh,06BV-G748,null,51.43,2.922,13.25,13.22,4.427,8.22,2.769,1.275,0.563,0.22,26.4,53.3,29.6,37.4,413.6,39.4,23.5,24.7,148.5,22,190.1,567.8,,13.1,6.4,32.3,317.1,4.1,,42.6,20,EvartsUnpubBridalVeil,WSU,whole rock,1/31/2007 8:18,45.613686,-122.141134
Tgww,06BV-G749A,null,54.03,2.018,13.44,12.14,3.714,7.459,3.007,1.562,0.321,0.208,20.1,51.9,26.1,34.6,363,9.1,6.1,8.2,124,21.2,175.1,570.3,,11.2,6.5,41.5,317.7,5.2,,35.6,20,EvartsUnpubBridalVeil,WSU,whole rock,1/31/2007 9:24,45.603996,-122.150024
Tgww,06BV-G749B,null,54.15,2.032,13.56,11.79,3.667,7.486,2.939,1.618,0.325,0.205,24.9,50,27.4,34.4,372.4,10,7.3,9.5,129.3,21.7,177.1,567.9,,12.4,6.1,39.3,322.4,4.7,,40.1,20,EvartsUnpubBridalVeil,WSU,whole rock,1/31/2007 10:29,45.604386,-122.150174
Tgo,06BV-G751,null,54.85,1.87,13.55,10.81,3.569,7.007,2.988,1.888,0.318,0.185,23,53.5,27.8,30.6,314.7,12.3,9.6,14.4,118.4,21.5,176.7,660.4,,10.3,8.6,49.8,308.9,6.1,,33.9,20,EvartsUnpubMultnomahFalls,WSU,whole rock,1/31/2007 11:34,45.602376,-122.002564
Tgo,06BV-G752,null,55.51,1.913,13.65,11.15,3.525,7.015,3.065,1.858,0.319,0.188,25.7,49.8,25.9,31.7,322,10.8,9.2,13.7,120.2,20.2,179.1,676.4,,11.7,8.2,50.8,312,5.4,,34.1,20,EvartsUnpubMultnomahFalls,WSU,whole rock,1/31/2007 12:40,45.602876,-122.002884
Tggc,06BV-G753,null,55.63,1.932,13.55,11.11,3.368,6.839,3.088,1.954,0.308,0.185,26.6,51.3,26.7,30,333,7.4,9.1,15.9,117.6,20.4,185.8,698.9,,11.4,9.3,53.9,308.1,6.2,,33.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,1/31/2007 13:45,45.602956,-122.002814
Tggc,06BV-G754,null,56,1.948,13.73,11.32,3.443,6.97,3.128,1.777,0.319,0.19,27.2,55.3,29.2,31.8,339.1,7.7,8.4,15.5,118.8,20.8,187.2,713.7,,11.2,9.6,50.3,311.1,7.1,,34.5,20,EvartsUnpubMultnomahFalls,WSU,whole rock,1/31/2007 14:51,45.603376,-122.002344
Tggc,06BV-G755A,null,55.21,1.91,13.74,11.42,3.66,7.113,3.148,1.753,0.315,0.19,20.7,43.6,23.8,31.6,328.2,12.3,12.2,17.3,116.7,19.5,169.9,668.8,,10.1,8.5,48.3,321.4,5.9,,33.7,20,EvartsUnpubMultnomahFalls,WSU,whole rock,1/31/2007 15:56,45.602806,-122.000544
Tggc,06BV-G755B,null,55.02,1.932,13.61,11.36,3.598,7.063,3.039,1.903,0.318,0.191,21,51.5,27.6,32.4,334.9,9.7,10.4,16.7,117.1,19.8,172.6,670.9,,11,9,51.1,318.4,5.1,,32.9,20,EvartsUnpubMultnomahFalls,WSU,whole rock,1/31/2007 17:02,45.603036,-122.000754
Tgwr,06BV-G756,null,54.4,2.305,13.63,11.9,3.544,7.077,3.071,1.879,0.373,0.193,27.4,58,31.2,32.5,369,7.6,15.4,22.1,127.1,20.1,198.1,704.3,,12.9,9.5,53.6,312.2,7.6,,37.8,20,EvartsUnpubMultnomahFalls,WSU,whole rock,2/1/2007 4:08,45.604646,-122.002124
Tgdg,06BV-G757A,null,54.36,2.164,13.36,12.4,3.528,7.125,3.174,1.608,0.365,0.207,22.5,46.8,27.2,34.4,380.3,7.5,8.8,13.7,124.4,20.3,176.9,617.6,,11.2,8.6,46.6,305.9,6.1,,35.4,20,EvartsUnpubMultnomahFalls,WSU,whole rock,2/1/2007 5:14,45.605536,-122.005544
Tgdg,06BV-G757B,null,54.69,2.177,13.43,12.07,3.537,6.933,3.312,1.619,0.372,0.189,21.1,53.5,28.1,33.3,388.9,10,8.7,14.5,126.1,20.9,177.5,608.2,,10.7,7.8,45.2,303.9,5.4,,34.7,20,EvartsUnpubMultnomahFalls,WSU,whole rock,2/1/2007 6:19,45.605756,-122.005044
Tgwr,06BV-G758A,null,53.89,2.25,13.47,12.15,3.596,7.05,2.922,1.929,0.35,0.197,22.4,54.9,27.3,33.5,401.3,9.1,9.6,14.2,122.9,19.6,178.7,665,,10.8,8.5,47.7,333.2,6,,35,20,EvartsUnpubMultnomahFalls,WSU,whole rock,2/1/2007 7:25,45.606136,-122.003264
Tgwr,06BV-G758B,null,53.77,2.252,13.48,12.18,3.615,7.111,2.993,1.856,0.368,0.199,21.5,51.1,27.7,32.9,405.6,9.2,11.3,15.4,126.9,20.1,180.6,673.6,,11,8.8,48.5,331.7,6,,36.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,2/1/2007 8:30,45.606386,-122.003234
Tgwr,06BV-G758B,06BV-G758BR,54.12,2.273,13.53,12.37,3.635,7.165,3.002,1.864,0.372,0.201,25.6,54,29.9,32.1,403.2,8,10.7,16.2,127.6,21,181.5,683.1,,10.5,7.4,48.8,333.8,5.2,,36.9,-9,EvartsUnpubMultnomahFalls,WSU,whole rock,2/2/2007 21:35,45.606386,-122.003234
Tgwr,06BV-G759,null,54.97,2.341,13.55,11.84,3.477,6.644,3.218,1.87,0.365,0.179,26.3,58.2,30.1,31.8,363.5,6.6,11.4,16.8,126.8,19.7,197.3,717.6,,12.3,8,51.7,310.1,5,,36.8,20,EvartsUnpubMultnomahFalls,WSU,whole rock,2/1/2007 9:35,45.604226,-122.000644
Tgww,06BV-G761A,null,54.51,2.033,13.5,12.36,3.764,7.476,3.012,1.667,0.321,0.207,26.8,49.7,25.3,34.2,369,9.5,8.1,10.3,124.3,21.1,177.7,578.4,,10.9,6.8,41.8,314.9,4.9,,37,20,EvartsUnpubMultnomahFalls,WSU,whole rock,2/1/2007 11:46,45.600706,-122.002564
Tgww,06BV-G761B,null,54.87,2.097,13.35,11.86,3.449,7.078,3.121,1.618,0.359,0.206,24.2,51.5,28.2,33.8,353.6,10.2,6.2,9.7,129.9,22.2,182.9,636.3,,11.9,8.8,47.1,322.5,5.3,,37.5,20,EvartsUnpubMultnomahFalls,WSU,whole rock,2/1/2007 12:52,45.601036,-122.002344
Tgo,06BV-G761C,null,55.63,1.954,13.76,11.41,3.499,7.093,3.126,1.709,0.326,0.189,30.7,58.2,31.1,31.2,312.3,3.5,8.6,15.9,124.1,22.2,194.5,705.5,,13.5,9.6,49.9,328.5,6.2,3.1,36.2,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2010 3:09,45.602386,-122.003384
Tgdg,06BV-G762,null,54.27,2.17,13.41,12.4,3.574,7.167,3.213,1.591,0.367,0.209,23.2,48.5,26.8,35,385.4,9.7,9.5,16.3,123.6,21.1,175.4,602.7,,10.5,7.3,45.2,307,5.1,,34.5,20,EvartsUnpubMultnomahFalls,WSU,whole rock,2/1/2007 13:57,45.606976,-122.002814
Tgo,06BV-G775,null,55.09,2.021,13.61,11.94,3.604,7.147,3.141,1.787,0.357,0.196,22.8,52.1,30.4,32.5,337.3,12.9,10.4,18.7,122.9,20.4,184.2,671.2,,11.7,8.2,47,315.3,4,,35.4,20,EvartsUnpubBridalVeil,WSU,whole rock,2/1/2007 19:24,45.572436,-122.181614
Tgdg,06BV-G789,null,54.25,2.171,13.39,12.18,3.504,7.154,3.224,1.568,0.368,0.205,21.6,45.4,26.4,33.9,384.5,9.6,7,14.7,123.9,20,175.1,610.5,,10.9,7.2,47,307.7,6.3,,34.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,2/1/2007 21:35,45.588486,-122.077734
Tgo,06BV-G804A,null,54.69,1.971,13.61,11.16,3.722,7.218,3.034,1.701,0.334,0.192,26.1,53.1,28.3,33.9,330.9,15.8,11.2,17.4,120.7,20,177.4,641.3,,11.2,8.4,45,318,5.5,,35,20,EvartsUnpubBridalVeil,WSU,whole rock,2/1/2007 22:41,45.591506,-122.196734
Tgo,06BV-G804B,null,55.46,2.024,13.74,10.66,3.614,7.224,3.05,1.982,0.356,0.195,26.1,49.4,28,32,341.4,13.3,12.1,17.3,126.7,22.1,184.6,690.5,,12.1,7.5,48.5,325,5.4,,36.7,20,EvartsUnpubBridalVeil,WSU,whole rock,2/1/2007 23:46,45.591786,-122.196884
Tgo,06BV-G804C,null,56.52,2.101,14.27,8.67,3.555,7.229,3.109,1.994,0.361,0.179,29.1,57.2,32,33.1,351.4,13.9,3,20.9,132.8,21.8,194.6,841.2,,12.4,8.2,50.3,349.8,4.8,2,38.6,20,EvartsUnpubBridalVeil,WSU,whole rock,3/11/2008 20:39,45.591786,-122.201794
Tgsbsf,07BD-R04,null,53.45,1.818,13.86,11.27,4.565,8.632,2.995,1.128,0.301,0.194,22,39.2,21,36.6,326.4,40.4,10.2,32.2,111.9,17.1,158.9,504.7,,9.5,4.7,28.5,309,1.4,1.9,33.1,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/30/2008 4:03,45.689306,-121.978044
Tgsbmc,07BD-R05,null,53.85,1.961,13.86,12.05,4.735,8.599,2.967,1.237,0.299,0.213,23,43.5,22.7,38.1,335,20.8,5.5,28.3,118.9,18.8,159.8,473.4,,9.5,3.5,29.9,316.3,2.5,1.9,32.6,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/30/2008 5:09,45.690136,-121.984984
Tgsbmc,07BD-R06,null,53.79,1.97,13.94,11.75,4.86,8.659,2.94,1.21,0.327,0.215,25.6,41.4,24.1,37.6,321.9,34.9,8,28.3,118.1,19.9,161.9,507.6,,10.2,4.7,27.1,313.7,5.3,0.7,34.8,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/30/2008 6:14,45.690376,-121.984714
Tgsbsf,07BD-R07,null,53.77,1.814,14.12,11.26,5.105,8.893,2.844,1.247,0.286,0.203,23.4,37.7,21.5,37.7,325.2,46.3,11.8,36.1,113.3,19.6,154.7,489,,9.9,2.6,30.4,305.3,2.5,2.9,32.4,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/30/2008 7:20,45.692586,-121.983064
Tgww,07BD-R08,null,55.32,2.118,13.4,11.95,3.434,7.18,3.134,1.829,0.36,0.206,26.7,49.6,27.7,33.1,356.1,9.1,0.7,8.7,130.1,19.1,184.2,634.6,,11.1,7.1,47.1,309.9,6.1,3.3,36.8,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/30/2008 8:25,45.695886,-121.984684
Tgo,07BD-R09,null,55.53,1.996,13.6,11.4,3.512,7.14,3.192,1.695,0.347,0.194,27.9,55,28,30.9,330.6,11.7,3.9,17.5,123.9,19.5,183.5,695.9,,11.1,6.9,48.2,313.7,3.6,1.6,34,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/30/2008 9:31,45.701786,-121.996934
Tgww,07BD-R10,null,54.9,2.09,13.23,12.27,3.407,7.117,3.119,1.782,0.362,0.205,30.5,51.7,28.1,33.7,352.5,8.2,0.3,8.5,127.6,20.6,181.9,625.3,,11.3,6.9,47.4,308.5,4.6,3.4,35.9,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/30/2008 10:37,45.689126,-121.985544
Tgo,07BD-R11,null,56.28,1.82,13.76,10.93,3.509,7.194,3.133,1.746,0.314,0.187,29.1,52.6,27.4,30.6,301.9,6.2,5,12.7,118.2,19.7,182.2,718.9,,11,7.2,50.1,311.3,5.1,2,33.1,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/30/2008 13:53,45.688256,-121.985734
Tgo,07BD-R12,null,55.76,2.023,13.66,11.53,3.572,7.279,3.222,1.737,0.36,0.203,29.8,59.4,31.4,32.2,343.1,6,3.5,16.9,126.5,20,183.7,691.4,,11,7.4,45.8,317,6.2,1.1,35.2,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/30/2008 14:59,45.687636,-121.985814
Tgo,07BD-R13,null,55.83,1.918,13.68,11.5,3.539,7.138,3.252,1.687,0.322,0.19,29,49.2,26.4,30.3,321.7,10.3,3.8,16.3,121.6,18.7,180.2,688.2,,10.8,5.8,49.2,309,4.7,1.3,33.1,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/30/2008 16:04,45.686136,-121.985484
Tggc,07BD-R14,null,55.19,1.951,13.76,11.48,3.7,7.262,3.186,1.745,0.339,0.189,25.3,48.8,27.8,30.6,330.2,13.6,6.3,24.5,116.5,19.9,170.9,678.3,,10.7,8.3,47.3,326.2,4.7,2.5,32.8,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/30/2008 17:10,45.684626,-121.985234
Tggc,07BD-R15,null,55.52,1.981,13.77,11.56,3.68,7.243,3.281,1.67,0.347,0.192,28.5,51.5,24.8,32.7,337.6,11.5,5.6,20.7,119.3,18.6,172.7,690.9,,10.7,7,46.7,324.1,3.9,2.7,32.9,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/30/2008 18:15,45.683636,-121.986314
Tggc,07BD-R16,null,54.98,2.023,13.57,11.87,3.59,7.114,3.272,1.715,0.353,0.194,26.4,53.8,28.8,32.1,345.1,11.6,6.6,23.3,121.6,19.6,175.5,696.7,,10.7,8.4,47.5,323.3,3.3,3.1,34.1,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/30/2008 19:21,45.683386,-121.987294
Tgsbsf,07BD-R21,null,53.45,1.801,14.04,11.39,5.054,8.829,2.865,1.23,0.285,0.201,23.5,42.1,24.8,37.2,324.7,44.4,12.4,34.8,109.7,18.1,155.8,486.2,,9.2,3.2,29.1,309.1,2.8,1.2,30.8,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/30/2008 22:38,45.690676,-121.984264
Tgdg,07BD-R32,null,54.13,2.177,13.33,12.48,3.595,7.249,3.235,1.622,0.37,0.21,28.5,47.5,27.7,35,386.5,9.1,5.4,18.9,124.6,18.8,176.9,614.1,,10,6.9,43.9,302.9,3.6,2.1,34.1,20,EvartsUnpubBonnevilleDam,WSU,whole rock,7/1/2008 5:11,45.660476,-121.876214
Tgtbr,07BD-R33,null,55.19,2.056,13.64,11.46,3.87,7.629,3.202,1.526,0.29,0.191,22.2,49.6,25.8,33.4,332,8.6,7.2,40.5,117.9,20.2,182,596.4,,11.4,6.8,45.8,310.1,2.9,1.8,33.4,20,EvartsUnpubBonnevilleDam,WSU,whole rock,7/1/2008 6:16,45.661006,-121.877394
Tgtbw,07BD-R34,null,55.57,2.251,13.28,12.04,3.077,6.745,3.267,1.875,0.391,0.197,29.9,52.7,30.4,31.2,343.5,2.9,0.4,23.8,130.8,20,206.9,701.2,,13.2,7.3,53.8,298.1,4.2,3.2,39.8,20,EvartsUnpubBonnevilleDam,WSU,whole rock,7/1/2008 7:22,45.660206,-121.879714
Tgtbw,07BD-R35A,null,55.21,2.241,13.14,11.92,3.081,6.706,3.108,2.004,0.38,0.195,32.4,58.5,32.7,30.9,344.5,3.9,0.5,25.1,130.5,20.9,204.1,681.2,,12.7,7,53.8,295.7,3.8,1.8,40.7,20,EvartsUnpubBonnevilleDam,WSU,whole rock,7/1/2008 8:28,45.659136,-121.884544
Twpr,07BV-G1014A,null,49.23,3.619,12.66,14.26,4.196,8.5,2.625,1.314,0.783,0.237,36.9,62.5,37.9,38.6,424.7,10.7,14,22.3,157.5,20.4,226.6,581.3,,17.2,5.2,32.2,290.3,3,0.8,49.2,20,EvartsUnpubMultnomahFalls,WSU,whole rock,6/29/2008 12:46,45.503306,-122.005764
Twfsg,07BV-G1017,null,48.91,2.894,13.05,13.2,3.889,8.183,2.75,1.043,0.65,0.223,28.8,53.3,30.7,34.9,357.6,13.5,5.4,19.9,132.9,19.1,172.2,526.1,,11.8,4.1,26.3,343.9,3.1,1.2,37.8,20,EvartsUnpubMultnomahFalls,WSU,whole rock,6/29/2008 13:51,45.502556,-122.033134
Tggc,07BV-G1040,null,55.13,1.93,13.69,11.23,3.686,7.236,3.139,1.682,0.324,0.195,29.2,45.1,24,31.6,333,11.8,5.8,18.9,118.2,19.9,171,679.6,,10.4,8.2,48.1,317.4,5,3,32.2,20,EvartsUnpubMultnomahFalls,WSU,whole rock,6/29/2008 14:57,45.585556,-122.067894
Tgwr,07BV-G1041,null,54.14,2.296,13.43,11.98,3.467,7.058,3.087,1.916,0.365,0.191,27.1,54.6,31.1,30.9,367.8,8.7,5.7,20.2,125,18.7,195.3,700.2,,11.9,7.8,53.9,306.5,4.3,2.5,35.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,6/29/2008 16:02,45.588206,-122.068964
Tgsbmc,07BV-G1046A,null,52.66,1.963,13.69,11.97,4.748,8.545,2.878,1.206,0.328,0.213,22.3,39.7,22.8,36.8,321.7,35.8,8.1,27.8,118,17.5,162.7,507.4,,10.5,2.7,26.6,312.6,1.6,0.3,34.4,20,EvartsUnpubMultnomahFalls,WSU,whole rock,6/29/2008 17:08,45.583806,-122.055464
Tgsbmc,07BV-G1047A,null,51.89,1.909,14.06,11.92,4.939,8.881,2.85,0.84,0.324,0.209,21.6,41.4,24.2,37.6,321.2,36.7,8.6,26.8,118.9,19.8,158.1,476,,9.5,4.5,19.7,324.5,1.9,0.5,33.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,6/29/2008 18:13,45.587806,-122.057384
Tgsbmc,07BV-G1047B,null,53.35,1.989,13.92,11.24,4.592,8.702,2.923,1.348,0.33,0.205,22.1,48.2,27.9,37.8,322,36.3,9.3,29.6,125,20,165.3,501,,10.1,4.2,29.8,314.5,1.5,0.9,34.7,20,EvartsUnpubMultnomahFalls,WSU,whole rock,6/29/2008 19:19,45.588206,-122.058134
Twfsh,07BV-G1056,null,50.19,2.898,12.78,13.66,4.226,7.887,2.806,1.253,0.545,0.206,25.2,51.3,30,35.4,411.5,40.3,14.2,28,141.7,19.3,188.2,563.2,,13.4,5.5,32.5,294.5,4.3,1,40.3,20,EvartsUnpubBridalVeil,WSU,whole rock,3/12/2008 17:24,45.538886,-122.186144
Twfss,07BV-G1066,null,51.03,2.93,12.9,13.77,3.916,7.867,2.8,1.557,0.662,0.23,,,,35.6,390.3,16,14,23,182,,212,662,,13.9,,39,311,,,53,-9,EvartsUnpubBridalVeil,WSU,whole rock,,45.621936,-122.128864
Tgww,07BV-G839B,null,54.48,2.114,13.23,12.17,3.523,6.852,3.265,1.522,0.352,0.196,26.2,48.3,25.9,33.9,363.4,8.2,0.4,11,131.3,21.4,183.5,625.2,,11.3,7.6,40.5,314.3,5.1,2.3,36.6,20,EvartsUnpubBridalVeil,WSU,whole rock,3/11/2008 22:50,45.572336,-122.130414
Tgsbmc,07BV-G840,null,53.26,1.999,13.98,11.08,4.35,8.671,2.865,1.095,0.327,0.214,21.8,41.4,26.1,38.6,330.3,33.6,7.3,29.4,127.9,21,168.6,606.1,,10.9,4.8,27.9,328.2,3.6,1.9,37.5,20,EvartsUnpubBridalVeil,WSU,whole rock,3/11/2008 23:55,45.538786,-122.211684
Twfsh,07BV-G841A,null,50.85,2.92,13.06,13.4,4.06,7.929,2.911,1.279,0.567,0.211,27.7,49.3,32.2,37,411.6,39.5,19.5,29.9,143.9,21.6,192.5,584.9,,12.9,5.5,32.3,302,4.4,2.2,42.5,20,EvartsUnpubBridalVeil,WSU,whole rock,3/12/2008 1:01,45.537476,-122.210044
Twfsh,07BV-G841B,null,51.15,2.897,13.12,13.41,4.326,8.232,2.79,1.476,0.566,0.231,31.6,63,34.7,36.9,407.3,40.7,11,29,141.8,21.1,192.8,622.2,,13.2,5.6,36,315.9,3.7,3.3,40.7,20,EvartsUnpubBridalVeil,WSU,whole rock,3/12/2008 2:06,45.537826,-122.210064
Tgsbmc,07BV-G841C,null,52.99,2.08,13.38,12.14,4.534,8.291,2.893,1.333,0.341,0.219,26,43.2,26.3,37.7,332.1,28.7,6.5,31,125.1,18.8,173.7,528.1,,11.3,4.8,29,302.1,3.6,1.6,35.6,20,EvartsUnpubBridalVeil,WSU,whole rock,3/12/2008 3:12,45.538036,-122.209864
Tgsbmc,07BV-G841D,null,53.25,1.928,13.74,11.9,4.673,8.5,2.921,1.189,0.283,0.209,20.9,40.2,24,37.3,335.3,19.8,5.2,27.1,114.5,19,156.8,485,,9.4,4,28,315.9,3.4,1.4,32.2,20,EvartsUnpubBridalVeil,WSU,whole rock,3/12/2008 4:17,45.538556,-122.209714
Tggc,07BV-G842,null,55.33,1.935,13.37,11.22,3.198,6.656,2.985,1.792,0.305,0.177,27.4,51.6,30.4,29.3,324.7,3.8,2.4,17,120.3,21.1,185.5,729.7,,11.3,7.6,51.8,306.4,5.1,1.9,36.4,20,EvartsUnpubBridalVeil,WSU,whole rock,3/12/2008 5:23,45.551956,-122.185664
Tgo,07BV-G843,null,55.4,1.927,13.58,11.37,3.48,7.049,3.121,1.834,0.32,0.189,28.4,54.7,27,30.7,321,11.4,2.3,17.6,121.5,20.1,181.3,696.1,,10.4,9,48.9,307,4.4,3,34.1,20,EvartsUnpubBridalVeil,WSU,whole rock,3/12/2008 6:28,45.551406,-122.185214
Tggc,07BV-G844,null,54.93,2.008,13.81,10.47,3.37,7.019,3.053,1.711,0.35,0.183,27.6,50.5,28.2,32,338.4,12.2,6.5,21.5,125.9,21.5,177.2,853.3,,11,8.1,50.8,345.7,4,1,33.5,20,EvartsUnpubBridalVeil,WSU,whole rock,3/12/2008 9:45,45.552636,-122.184114
Tgsbm,07BV-G845,null,53.65,1.792,13.93,11.11,4.546,8.402,2.856,1.358,0.349,0.194,27.9,48.7,26,34.4,296.2,35.5,9,25,115.9,18,165.3,539.2,,9.9,5,32.8,311.7,3.8,1.8,33,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/29/2008 22:35,45.705386,-121.997064
Tgsbm,07BV-G845,07BV-G845R,53.71,1.802,13.91,11.08,4.566,8.417,2.868,1.358,0.35,0.195,19.2,42,23.4,34.2,295.1,36.9,8.5,24.6,116.1,18.8,165.9,530.2,,9.9,5,32.5,311.6,2,2,32.9,20,EvartsUnpubBonnevilleDam,WSU,whole rock,7/1/2008 12:50,45.705386,-121.997064
Tgsbsf,07BV-G846,null,52.42,1.749,13.88,11.35,5.08,8.894,2.776,1.08,0.267,0.196,21.7,40.8,22.4,35.9,323.7,45.3,12.8,35.7,109.8,18.9,148.8,442.6,,8.9,3.5,27.9,301.6,1.7,1.3,30.1,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/29/2008 23:41,45.704336,-121.996544
Tgsbmc,07BV-G847A,null,53.02,1.912,13.71,11.97,4.69,8.586,2.892,1.142,0.284,0.206,23.3,42.1,23.8,37.3,337.5,20.7,7.3,26.7,115.6,18.8,155.5,452.2,,9.8,4.2,29.9,314.4,1.6,1.3,31.3,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/30/2008 0:47,45.703636,-121.995644
Tgdg,07BV-G858,null,53.91,2.163,13.31,12.28,3.463,7.182,3.199,1.575,0.367,0.207,25.6,54.8,27.7,34.6,382.5,9.6,1.6,16.8,125.2,20.4,176.2,611.4,,10.9,7.9,45.5,306.1,4.1,3.4,34.1,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2008 7:36,45.576876,-122.116194
Tgo,07BV-G859,null,54.96,2.013,13.68,11.29,3.622,7.124,3.088,1.747,0.353,0.194,27.3,51.2,29.9,32.6,342.3,12.1,5.7,24.1,123.6,20.4,176.7,697.1,,11.3,8,48,327.2,4.8,2.1,34.1,20,EvartsUnpubBridalVeil,WSU,whole rock,3/12/2008 10:51,45.598786,-122.149204
Tgo,07BV-G859,07BV-G859R,54.65,2.003,13.62,11.41,3.612,7.135,3.072,1.739,0.35,0.194,27.3,49.7,26.5,31.5,341.3,10.7,6.2,24.8,123.2,19.4,176.4,695.1,,11.7,8.9,48.8,327.6,4.2,3.1,33.3,20,EvartsUnpubBridalVeil,WSU,whole rock,3/14/2008 4:21,45.598786,-122.149204
Tgo,07BV-G860A,null,55.1,1.964,13.48,11.4,3.398,6.925,2.854,2.111,0.332,0.189,28.4,53.2,28.1,30.3,325.7,10.4,2.7,15.5,122,21.5,185.5,689.9,,11.8,8.8,50.4,306,5.1,3.6,34,20,EvartsUnpubBridalVeil,WSU,whole rock,3/12/2008 11:56,45.598976,-122.149694
Tgo,07BV-G860B,null,54.83,2.026,13.54,11.69,3.559,7.154,2.973,1.932,0.35,0.195,29.7,53.1,27.6,31.8,337.4,12,3.9,17.5,124.8,20.3,185.6,677,,11.3,7.6,48.1,313.3,4.9,0.8,35.6,20,EvartsUnpubBridalVeil,WSU,whole rock,3/12/2008 13:02,45.598936,-122.149424
Tgwr,07BV-G872,null,54.14,2.317,13.46,12,3.494,7.042,3.099,1.882,0.364,0.193,30.7,55.1,29.2,29.9,371.8,8,6.4,23.9,125.2,21.3,198.3,713.6,,11.6,8.9,54,309.5,5.6,2.5,35.5,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2008 8:41,45.588756,-122.067634
Tgwr,07BV-G873,null,54.45,2.332,13.5,11.56,3.384,7.019,3.121,1.84,0.357,0.191,30.1,53.6,30.9,32,366.8,7.7,4.8,21.6,125.1,20.1,195.4,723.3,,11.6,8,54.9,315.4,5.9,2,35.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2008 9:47,45.588956,-122.066634
Tggc,07BV-G874,null,54.86,1.928,13.66,11.31,3.636,7.178,3.117,1.691,0.314,0.191,31.6,45.6,25.1,31.9,333.4,11.5,5,19.7,120.3,19.3,172.7,679.9,,10.7,8.2,48.7,319.2,5.3,2.2,32.7,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2008 13:03,45.589056,-122.066134
Tggc,07BV-G875,null,54.93,1.921,13.61,11.37,3.647,7.161,3.102,1.777,0.313,0.191,24.5,49.5,27.2,31.9,334.9,10.6,4.8,18.7,119.9,19.1,172.2,671.7,,9.7,8.9,47.9,317.8,5.4,3.3,33.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2008 14:09,45.588386,-122.065794
Tggc,07BV-G875,07BV-G875R,55.03,1.926,13.62,11.42,3.649,7.19,3.111,1.777,0.314,0.191,22.9,52.1,28.2,31.6,330.1,10.6,4.5,19.4,121.1,19.8,172.2,671.4,,10.3,7.7,48.2,317.5,4.7,1.6,33.1,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/14/2008 5:26,45.588386,-122.065794
Tggc,07BV-G876,null,54.77,1.957,13.64,11.46,3.7,7.171,3.083,1.659,0.342,0.191,23.5,48.5,26.9,32.5,331.6,14,5.7,23.1,120.7,20.1,172.1,701.5,,10.7,8.1,46.1,326.5,4.5,3,32.5,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2008 15:14,45.587636,-122.065384
Tggc,07BV-G877,null,55.4,1.948,13.48,11.34,3.349,6.896,3.133,1.81,0.309,0.19,27.3,53.5,28,30.7,334.5,7.2,2.9,18.6,119.6,19.1,188.3,727.7,,11,8.6,51,309.4,5.2,3.7,33.9,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2008 16:20,45.587806,-122.065044
Tgo,07BV-G878,null,55.56,1.929,13.71,10.81,3.507,7.079,3.13,1.739,0.316,0.187,29.5,51.9,28.3,31,322.7,12.8,3.3,14.9,125.9,20,180.4,737.2,,11,10.5,49.2,312.3,5.3,2.3,35.2,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2008 17:25,45.588176,-122.064384
