MapUnit,FieldSampleID,AlternateSampleID,SiO2,TiO2,Al2O3,FeOt,MgO,CaO,Na2O,K2O,P2O5,MnO,La,Ce,Nd,Sc,V,Cr,Ni,Cu,Zn,Ga,Zr,Ba,Cs,Nb,Pb,Rb,Sr,Th,U,Y,LocationConfidenceMeters,LocationSourceID,AnalysisSourceID,MaterialAnalyzed,DateAnalysis,Latitude,Longitude
Tgo,05BV-G387,05BV-G387R,55.09,2.02,13.73,11.69,3.571,7.175,3.221,1.756,0.357,0.198,26.4,50.5,27.5,31.3,337.1,14.8,11.8,17.5,125.4,22.9,182.8,683.8,,13.1,8.8,47.9,310.7,3.8,,36.5,-9,EvartsUnpubBridalVeil,WSU,whole rock,2/10/2006 1:58,45.546436,-122.197894
Tgo,05BV-G389A,null,55.49,1.943,13.69,11.19,3.441,6.979,3.122,2.007,0.332,0.188,30.4,58.7,28.1,31.8,307.6,6.6,10.4,15.1,119.8,23.1,187.7,689.2,,13.1,9.1,52.2,318.4,4.9,,35.9,20,EvartsUnpubBridalVeil,WSU,whole rock,2/8/2006 16:56,45.543776,-122.199094
Tgww,05BV-G389B,null,53.78,2.011,13.51,12.36,3.825,7.629,3.014,1.542,0.313,0.209,20.5,51.1,27.6,36.3,372.3,11.8,11.3,10.3,127.2,21.3,169,551.1,,10.9,8.8,38.2,309.9,4.7,,32.6,20,EvartsUnpubBridalVeil,WSU,whole rock,5/13/2006 9:19,45.542656,-122.198414
Tgsbmc,05BV-G389C,null,53.01,1.983,14.12,11.82,4.867,8.619,2.93,1.197,0.322,0.217,16.9,43,26,38.6,324.9,37.6,19.7,25.1,121.9,20.6,162.1,502.6,,11.6,8.7,23.2,312.4,2.4,,33.2,-9,EvartsUnpubBridalVeil,WSU,whole rock,5/25/2006 7:36,45.541936,-122.198464
Tgo,05BV-G390,null,54.66,1.876,13.52,10.8,3.49,6.923,3.069,1.93,0.315,0.184,22.4,50.2,25.7,31,315.9,13.6,10.8,14.7,117.7,21,175.6,678.2,,11.8,8.7,49.5,300.8,4,,34.6,20,EvartsUnpubBridalVeil,WSU,whole rock,2/8/2006 18:00,45.573786,-122.132514
Tgsbmc,05BV-G393A,null,53.41,1.96,13.97,11.34,4.766,8.605,3.02,1.226,0.321,0.203,16.4,42.3,23.3,38.8,322.7,39,19.6,21.6,118.7,20.8,161.2,499.2,,10.8,6.7,26.6,309.1,2,,32.9,-9,EvartsUnpubBridalVeil,WSU,whole rock,5/25/2006 9:44,45.570136,-122.141394
Tgsbmc,05BV-G394,null,53.74,1.984,14.15,10.92,4.42,8.666,2.954,1.299,0.331,0.216,21.7,45.3,24.8,38.8,319.6,35.7,16.8,28.3,124.2,21.3,163.3,607.2,,12,5.4,28.8,318.8,1.6,,36.2,20,EvartsUnpubBridalVeil,WSU,whole rock,2/8/2006 19:04,45.578426,-122.195114
Tgww,05BV-G396A,null,53.9,2.009,13.4,12.5,3.817,7.527,3.036,1.584,0.312,0.209,20.8,48.1,24.7,34.1,370.1,11.3,11.6,10.2,126.4,23.3,169.4,568.9,,11.7,8,40.9,308.2,3.7,,33.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,5/13/2006 10:23,45.618876,-122.120964
Tgsbmc,05BV-G396B,null,52.92,1.971,13.79,11.8,4.787,8.48,2.921,1.296,0.323,0.211,20.9,41.5,25.5,37.7,320.5,34.6,16.5,26.6,118.9,21.8,161.2,506.6,,12.2,5.8,26.5,306.7,2.3,,37.2,20,EvartsUnpubMultnomahFalls,WSU,whole rock,2/8/2006 20:08,45.620136,-122.120134
Tgo,05BV-G396C,null,55.33,1.88,13.69,11.13,3.49,7.031,3.135,1.712,0.32,0.186,27.8,54.2,27.5,31.1,318.1,6.6,8.9,12.8,120.8,21.6,179.1,720.9,,12.1,11.1,49.2,312.2,3.7,,37.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,2/8/2006 21:12,45.617426,-122.120964
Twfsh,05BV-G397,null,51.74,3.03,13.63,12.39,4.215,8.466,2.849,1.415,0.58,0.223,29.9,62.8,33.6,37.7,429.4,43.6,29.4,28.3,144.2,22,194.7,631.8,,15.4,7.1,34.2,321.6,3.4,,45.6,20,EvartsFleck2017,WSU,whole rock,2/8/2006 22:15,45.626176,-122.115294
Tgo,05BV-G398A,null,55.01,1.9,13.53,10.96,3.475,6.967,3.134,1.8,0.327,0.187,27.5,50.2,27.8,31.1,319.3,13.2,11.3,14.7,117.1,21.4,176.9,685.5,,12.6,9.3,49.9,305.6,4.4,,36.1,20,EvartsFleck2017,WSU,whole rock,2/8/2006 23:19,45.630226,-122.109994
Tgww,05BV-G400,null,55.06,2.108,13.39,11.69,3.442,7.1,3.012,2.014,0.363,0.203,30.3,52.4,28.1,33,361.3,11.4,8.2,7.5,128.2,20.6,183.2,636.5,,13,9.1,47,314.1,4.8,,38.9,20,EvartsUnpubMultnomahFalls,WSU,whole rock,2/9/2006 0:23,45.618626,-122.097314
Tgo,05BV-G401,null,55.58,1.91,13.74,11.05,3.549,7.069,3.155,1.811,0.328,0.189,25.4,52.7,28.5,31.3,322.3,14.5,11.9,15.6,119.2,21.7,175.9,686.9,,12.2,9.3,50.3,307.8,4.6,,35.4,20,EvartsFleck2017,WSU,whole rock,2/9/2006 1:27,45.625576,-122.103214
Tggc,05BV-G402,null,55.33,1.972,13.8,11.53,3.657,7.124,3.23,1.755,0.345,0.192,24.7,50.2,24.6,31.1,332.7,14,13.3,20.8,122,21,172.2,687.4,,12.2,9.3,49.1,324.5,3.6,,35.5,20,EvartsFleck2017,WSU,whole rock,2/9/2006 2:31,45.629676,-122.109894
Tgwr,05BV-G403,null,54.08,2.313,13.23,12.11,3.36,6.91,3.152,1.772,0.399,0.194,23.9,55.6,30.4,31.3,372.4,8.9,12.5,23,125.7,21.2,183.2,697.3,,13,9.3,50.6,320.6,4.7,,37.1,20,EvartsFleck2017,WSU,whole rock,2/9/2006 3:35,45.626766,-122.108634
